age,educ,logearn
29,4,7.2048926
59,4,6.7223411
47,5,7.3132205
58,5,6.3969297
62,5,7.967145
25,2,6.4457197
55,1,6.9077554
49,5,6.3577037
27,1,7.0963073
56,2,6.4052286
57,3,6.7817383
21,2,5.556828
28,2,7.0210838
59,2,6.5861716
43,3,6.9077554
24,2,6.3969297
36,1,5.9135032
24,2,6.2344108
24,3,6.0282784
47,2,6.6720328
40,1,5.3619962
27,3,6.2869287
55,4,7.130899
24,3,6.0867748
48,2,7.495542
33,3,6.0402546
42,2,5.95223
45,5,7.130899
49,2,6.5909877
44,2,7.4024515
38,3,7.21524
48,3,7.3385372
47,3,7.5616779
66,4,6.9454942
43,2,7.4024515
42,3,6.253829
56,3,7.2997975
41,4,6.7177081
24,3,5.9269261
47,3,6.1841488
31,5,7.967145
35,4,7.0900769
40,4,7.4108553
36,4,7.5291538
60,5,7.9158521
28,4,6.4222398
53,2,6.3716121
23,1,6.253829
64,5,7.967145
45,4,7.7014399
45,4,7.130899
41,1,6.5220928
41,3,6.1092477
56,2,6.694562
26,1,7.181592
52,4,6.7165947
63,3,4.4278359
35,3,6.3577037
29,4,5.521461
56,3,7.967145
52,5,6.7631688
38,3,6.7615728
41,1,6.4808111
64,4,7.2050037
37,2,6.8380728
53,3,7.0900769
27,3,6.856462
57,4,7.0169506
29,3,5.8861041
38,5,7.58148
59,2,6.7631688
40,2,6.8023949
39,2,6.868526
37,3,7.2739944
32,5,7.3385372
60,4,6.7627296
45,3,6.9847164
30,1,7.4871736
74,4,5.4380794
52,3,7.0900769
32,2,6.5792513
24,4,6.5510802
68,2,7.1853871
41,4,6.3969297
35,2,6.2146082
24,2,6.2146082
39,4,7.5288692
43,3,6.3969297
50,4,6.5117455
23,2,5.9269261
33,3,6.8023949
61,5,6.5117455
66,2,5.9914646
62,2,6.5792513
43,5,7.5616779
67,2,7.130899
50,3,6.5366917
25,2,4.9272537
26,3,5.5834961
61,5,7.7440023
25,4,6.6045671
61,5,7.9669337
48,3,6.3279366
60,3,6.868526
30,4,7.3873253
54,1,5.9269261
60,4,7.1899223
26,3,6.4614682
42,2,6.4361506
28,2,6.4361506
57,4,7.1906157
27,1,6.9077554
33,5,7.4336667
41,3,6.2146082
58,2,5.0106354
55,4,6.9638424
32,4,7.6294899
29,1,6.3574958
33,3,6.7912216
52,3,7.0900769
44,5,7.5616417
57,1,6.1092477
23,3,5.4161005
42,3,6.9847164
55,4,7.0508509
27,3,6.1056857
41,1,6.3969297
50,2,6.64539
42,1,6.779922
52,4,6.6200733
36,2,7.3145528
28,4,5.9970241
58,1,6.3099184
50,5,7.7186856
35,1,5.2983174
59,2,7.7579064
36,1,5.5759492
53,2,7.2739944
24,4,6.64539
54,3,7.4338436
21,2,6.3969297
45,4,7.967145
29,2,6.8297939
28,4,6.64539
37,5,7.967145
41,2,6.9638424
66,2,5.6333599
53,2,7.5390272
36,3,6.9603477
29,4,7.1760173
23,3,6.3969297
44,2,5.9506426
40,2,7.0979624
26,4,5.3290892
37,4,6.9450512
36,4,6.7884088
46,2,5.9506426
60,2,6.9157233
50,2,5.5984221
40,4,6.8079348
49,5,7.7186856
33,4,6.64539
54,2,6.0563154
28,4,7.5600805
56,2,4.0943446
64,4,6.8297939
27,3,5.8861041
54,2,6.476357
32,2,6.3279366
38,4,7.0326242
63,3,7.3132205
40,2,7.8240461
63,2,7.3813524
28,4,7.0900769
54,4,7.130899
40,2,7.426549
31,2,6.3969297
47,5,6.7631688
50,4,7.6104717
30,4,7.3385372
57,4,7.181881
49,4,7.5616779
72,2,3.9120231
